Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[7600/8000]	[MSE: 74.3636]	53.8+2.0s
[7640/8000]	[MSE: 74.2617]	53.8+2.0s
[7680/8000]	[MSE: 74.1868]	53.8+2.0s
[7720/8000]	[MSE: 74.1163]	53.8+2.0s
[7760/8000]	[MSE: 74.0405]	53.8+2.0s
[7800/8000]	[MSE: 74.0667]	53.8+2.0s
[7840/8000]	[MSE: 74.0758]	53.8+2.0s
[7880/8000]	[MSE: 74.0040]	53.8+2.0s
[7920/8000]	[MSE: 74.0106]	53.8+2.0s
[7960/8000]	[MSE: 74.0885]	53.8+2.0s
[8000/8000]	[MSE: 74.0119]	53.9+2.0s

Evaluation:
 10%|████▍                                       | 1/10 [00:35<05:21, 35.73s/it] 20%|████████▊                                   | 2/10 [01:11<04:44, 35.60s/it] 30%|█████████████▏                              | 3/10 [01:50<04:17, 36.81s/it] 40%|█████████████████▌                          | 4/10 [02:21<03:30, 35.08s/it] 50%|██████████████████████                      | 5/10 [03:01<03:02, 36.47s/it] 60%|██████████████████████████▍                 | 6/10 [03:36<02:24, 36.11s/it] 70%|██████████████████████████████▊             | 7/10 [04:06<01:42, 34.08s/it] 80%|███████████████████████████████████▏        | 8/10 [04:41<01:08, 34.40s/it] 90%|███████████████████████████████████████▌    | 9/10 [05:16<00:34, 34.68s/it]100%|███████████████████████████████████████████| 10/10 [05:56<00:00, 36.20s/it][DIV2K x2]	PSNR: 33.700 (Best: 33.700 @epoch 2)
Forward: 356.26s

Saving...
Total: 361.77s

[Epoch 3]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][40/8000]	[MSE: 60.6676]	54.0+1.8s
[80/8000]	[MSE: 71.3329]	53.8+2.0s
[120/8000]	[MSE: 73.5970]	53.9+2.0s
[160/8000]	[MSE: 76.6457]	53.8+2.0s
[200/8000]	[MSE: 72.4731]	53.9+2.0s
[240/8000]	[MSE: 71.9866]	53.8+2.0s
[280/8000]	[MSE: 69.5139]	53.8+2.0s
[320/8000]	[MSE: 68.9997]	53.8+2.0s
[360/8000]	[MSE: 68.3263]	53.9+2.0s
[400/8000]	[MSE: 66.1863]	53.8+2.0s
[440/8000]	[MSE: 66.0069]	53.8+2.0s
[480/8000]	[MSE: 63.9850]	53.9+2.0s
[520/8000]	[MSE: 63.2876]	53.9+2.0s
[560/8000]	[MSE: 63.0494]	53.8+2.0s
[600/8000]	[MSE: 62.2606]	53.8+2.0s
[640/8000]	[MSE: 62.3315]	53.8+2.0s
[680/8000]	[MSE: 62.6389]	53.9+2.0s
