Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[6592/16000]	[MSE: 136.6542]	3.3+0.1s
[6608/16000]	[MSE: 136.5529]	3.3+0.1s
[6624/16000]	[MSE: 136.3636]	3.3+0.1s
[6640/16000]	[MSE: 136.2146]	3.3+0.1s
[6656/16000]	[MSE: 136.1618]	3.3+0.1s
[6672/16000]	[MSE: 135.9841]	3.3+0.1s
[6688/16000]	[MSE: 135.8360]	3.3+0.1s
[6704/16000]	[MSE: 135.7002]	3.3+0.1s
[6720/16000]	[MSE: 135.4984]	3.3+0.1s
[6736/16000]	[MSE: 135.2458]	3.3+0.1s
[6752/16000]	[MSE: 135.0240]	3.3+0.1s
[6768/16000]	[MSE: 134.8697]	3.3+0.1s
[6784/16000]	[MSE: 134.7661]	3.3+0.1s
[6800/16000]	[MSE: 134.6584]	3.3+0.1s
[6816/16000]	[MSE: 134.4583]	3.3+0.1s
[6832/16000]	[MSE: 134.3622]	3.3+0.1s
[6848/16000]	[MSE: 134.2220]	3.3+0.1s
[6864/16000]	[MSE: 134.0740]	3.3+0.1s
[6880/16000]	[MSE: 133.9156]	3.3+0.1s
[6896/16000]	[MSE: 133.7579]	3.3+0.1s
[6912/16000]	[MSE: 133.6508]	3.3+0.1s
[6928/16000]	[MSE: 133.4565]	3.3+0.1s
[6944/16000]	[MSE: 133.4578]	3.3+0.1s
[6960/16000]	[MSE: 133.2614]	3.3+0.1s
[6976/16000]	[MSE: 133.0998]	3.3+0.1s
[6992/16000]	[MSE: 132.8944]	3.3+0.1s
[7008/16000]	[MSE: 132.6891]	3.3+0.1s
[7024/16000]	[MSE: 132.5082]	3.3+0.1s
[7040/16000]	[MSE: 132.3131]	3.3+0.1s
[7056/16000]	[MSE: 132.1485]	3.3+0.1s
[7072/16000]	[MSE: 132.0810]	3.3+0.1s
[7088/16000]	[MSE: 132.0690]	3.3+0.1s
[7104/16000]	[MSE: 132.2199]	3.3+0.1s
[7120/16000]	[MSE: 132.1531]	3.3+0.1s
[7136/16000]	[MSE: 131.9256]	3.3+0.1s
