Making model...
Preparing loss function:
1.000 * MSE
[Epoch 1]	Learning rate: 1.00e-4
[12160/16000]	[MSE: 70.2439]	32.7+0.8s
[12320/16000]	[MSE: 70.2239]	32.7+0.8s
[12480/16000]	[MSE: 70.1464]	32.7+0.8s
[12640/16000]	[MSE: 70.0512]	32.7+0.8s
[12800/16000]	[MSE: 69.9817]	32.7+0.8s
[12960/16000]	[MSE: 69.9332]	32.7+0.8s
[13120/16000]	[MSE: 69.8745]	32.7+0.8s
[13280/16000]	[MSE: 70.0422]	32.7+0.8s
[13440/16000]	[MSE: 70.1058]	32.7+0.8s
[13600/16000]	[MSE: 70.1153]	32.7+0.8s
[13760/16000]	[MSE: 70.1354]	32.7+0.8s
[13920/16000]	[MSE: 70.2536]	32.7+0.8s
[14080/16000]	[MSE: 70.2995]	32.7+0.8s
[14240/16000]	[MSE: 69.9890]	32.7+0.8s
[14400/16000]	[MSE: 69.8918]	32.7+0.8s
[14560/16000]	[MSE: 69.8691]	32.7+0.8s
[14720/16000]	[MSE: 69.9180]	32.7+0.8s
[14880/16000]	[MSE: 69.8048]	32.7+0.8s
[15040/16000]	[MSE: 69.8654]	32.7+0.8s
[15200/16000]	[MSE: 69.7122]	32.7+0.8s
[15360/16000]	[MSE: 69.5369]	32.7+0.8s
[15520/16000]	[MSE: 69.6673]	32.7+0.8s
[15680/16000]	[MSE: 69.4468]	32.7+0.8s
[15840/16000]	[MSE: 69.4383]	32.7+0.8s
[16000/16000]	[MSE: 69.3440]	32.7+0.8s

Evaluation:
 10%|████▍                                       | 1/10 [00:04<00:42,  4.71s/it] 20%|████████▊                                   | 2/10 [00:09<00:36,  4.59s/it] 30%|█████████████▏                              | 3/10 [00:13<00:32,  4.65s/it] 40%|█████████████████▌                          | 4/10 [00:17<00:26,  4.38s/it] 50%|██████████████████████                      | 5/10 [00:22<00:22,  4.50s/it] 60%|██████████████████████████▍                 | 6/10 [00:26<00:17,  4.44s/it] 70%|██████████████████████████████▊             | 7/10 [00:30<00:12,  4.17s/it] 80%|███████████████████████████████████▏        | 8/10 [00:34<00:08,  4.21s/it] 90%|███████████████████████████████████████▌    | 9/10 [00:38<00:04,  4.24s/it]100%|███████████████████████████████████████████| 10/10 [00:43<00:00,  4.40s/it][DIV2K x2]	PSNR: 34.246 (Best: 34.246 @epoch 2)
Forward: 43.56s

Saving...
Total: 49.19s

[Epoch 3]	Learning rate: 1.00e-4

  0%|                                                    | 0/10 [00:00<?, ?it/s][160/16000]	[MSE: 62.6331]	32.7+1.1s
[320/16000]	[MSE: 65.6559]	32.7+0.8s
[480/16000]	[MSE: 65.1603]	32.7+0.8s
